TestData/Chemistry/C1CC11308A.txt - 1 - Physics  | Chemistry | Physics
TestData/Machine Learning/herbrich01a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/herbrich01a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/tipping01a.txt - 1 - Artificial Intelligence  | Machine Learning | Artificial Intelligence
TestData/Machine Learning/tipping01a.txt - 3 - Artificial Intelligence  | Machine Learning | Artificial Intelligence
TestData/Machine Learning/tipping01a.txt - 5 - Physics  | Machine Learning | Physics
TestData/Machine Learning/tipping01a.txt - 7 - Physics  | Machine Learning | Physics
TestData/Machine Learning/tipping01a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/schmitt06a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/schmitt06a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/schmitt06a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/schmitt06a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/schmitt06a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/opper05a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/opper05a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/opper05a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/opper05a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/opper05a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/peer06a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/peer06a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/peer06a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/peer06a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/peer06a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/boyan00a.txt - 1 - Physics  | Machine Learning | Physics
TestData/Machine Learning/boyan00a.txt - 3 - Physics  | Machine Learning | Physics
TestData/Machine Learning/boyan00a.txt - 5 - Physics  | Machine Learning | Physics
TestData/Machine Learning/boyan00a.txt - 7 - Physics  | Machine Learning | Physics
TestData/Machine Learning/boyan00a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/mangasarian01a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mangasarian01a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mangasarian01a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mangasarian01a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mangasarian01a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/blanchard06a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/blanchard06a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/blanchard06a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/blanchard06a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/blanchard06a.txt - Machine Learning | Machine Learning | Machine Learning
TestData/Machine Learning/mahony01a.txt - 1 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mahony01a.txt - 3 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mahony01a.txt - 5 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mahony01a.txt - 7 - Machine Learning  | Machine Learning | Machine Learning
TestData/Machine Learning/mahony01a.txt - Machine Learning | Machine Learning | Machine Learning
{'CorrectKNN': 196, 'CntKnn': 272, 'CntBayes': 68, 'CorretBayes': 43}
